"d_local","Air temperature (°C)","Wind speed (m.s-1)","Atmospheric pressure (Pa)","Shortwave radiation (W.m-2)","Longwave radiation (W.m-2)","Specific humidity (kg.kg-1)","Relative humidity (%)","Precipitation (mm)","measure_height_m","rheight_m","2m Wind speed (m.s-1)","Snow depth (cm)","Field snow depth (cm)","Snowfall probability","Snowfall (liquid equivalent, mm)"
2019-08-25,15.0416666666667,1.16898148148148,101760.833333333,274.26422190171,318.515023585723,0.00774528953563295,77.375,0,10,0.12,0.743598821353573,0,NA,1.33399837668167e-08,0
2019-08-26,15.8666666666667,0.972222222222222,101412.5,276.311863922182,322.072659181178,0.00798172345108336,75.7916666666667,0,10,0.12,0.618438623700001,0,NA,4.80672429390322e-09,0
2019-08-27,16.5541666666667,1.70138888888889,100689.166666667,275.32071805057,321.658413940611,0.00821311077437798,75.0416666666667,0,10,0.12,1.082267591475,0,NA,1.95060744631273e-09,0
2019-08-28,18.8208333333333,2.25694444444444,100157.5,113.104992348926,384.020598171202,0.0115228347623767,84.7083333333333,6.8,10,0.12,1.43566109073214,0,NA,3.34447932210649e-11,0
2019-08-29,18.8125,2.56944444444444,100047.5,205.717226923813,365.379562345705,0.0112406830936064,84.125,0.3,10,0.12,1.63444493406429,0,NA,3.56641547553254e-11,0
2019-08-30,17.2541666666667,4.02777777777778,100178.333333333,161.132000270597,345.471423431417,0.00904725029876855,75.3333333333333,6.3,10,0.12,2.56210286961429,0,NA,7.08143045689564e-10,0
2019-08-31,15.1083333333333,2.41898148148148,101201.25,202.705668313916,334.828975853919,0.00802510354559677,77.5833333333333,0,10,0.12,1.53873419468214,0,NA,1.19175943504103e-08,0
2019-09-01,13.4833333333333,1.21527777777778,101643.75,248.532550234866,308.926464634962,0.00715348450960668,78,0,10,0.12,0.773048279625001,0,NA,1.13495787699226e-07,0
2019-09-02,16.4791666666667,3.14814814814815,100526.25,50.9242035463819,372.933446144272,0.011028610118713,94.5416666666667,15.3,10,0.12,2.00256316245715,0,NA,3.74895048282941e-10,0
2019-09-03,14.6208333333333,2.12962962962963,100796.25,242.21535676745,324.795712453726,0.00748889043399958,73.9583333333333,0,10,0.12,1.35467508048572,0,NA,3.2839787181805e-08,0
2019-09-04,17.5,5.32407407407407,99871.6666666667,118.616199063602,372.945629827818,0.0102735312689452,81,12.3,10,0.12,3.38668770121429,0,NA,3.00672344579776e-10,0
